Date,G40,G42,G43,G44,G45,G46,G47,G48,G49,G51,G53,G65
Apr-12,3.21,5.437333333,3.326333333,,3.375333333,,,,4.009333333,4.058333333,4.043333333,4.293333333
May-12,3.287096774,4.554516129,4.721935484,1.436,2.513076923,,,,3.505483871,4.025806452,3.515333333,4.421612903
Jun-12,3.296333333,4.084827586,4.709666667,1.96,1.650333333,,,,3.190666667,3.83952381,3.132666667,4.131333333
Jul-12,3.0225,3.790344828,4.996129032,1.575172414,1.174444444,,,,2.392258065,3.3775,1.889677419,3.816774194
Aug-12,3.047096774,4.248064516,4.788387097,1.527037037,1.73483871,,,,2.019354839,3.298571429,0.615483871,3.715483871
Sep-12,2.89,4.506333333,3.435,1.4825,2.214666667,,,,3.142333333,3.32,1.503666667,3.742666667
Oct-12,,4.256451613,,,1.601290323,,,,2.928064516,,2.338709677,3.860967742
Nov-12,,4.486,,,2.250666667,,,,3.148333333,,2.891666667,4.018666667
Dec-12,,4.708064516,,,3.078076923,,,,3.567419355,,3.748709677,4.062258065
Jan-13,,4.98137931,,,3.50375,,,,4.160645161,,4.14862069,3.879677419
Feb-13,2.688,4.913214286,,,3.273157895,,,,3.76,,4.224074074,3.882142857
Mar-13,2.61516129,4.839677419,,,2.778518519,,,,3.599677419,,3.792580645,3.88483871
Apr-13,2.763666667,5.487666667,2.247727273,,3.468,,,,3.974333333,,3.997333333,3.996666667
May-13,2.792580645,4.388064516,3.740645161,1.795,2.253571429,,,,3.450645161,3.612222222,3.623225806,4.258064516
Jun-13,2.839,3.994333333,4.807,1.926538462,1.808275862,,,,3.214,3.804,3.288666667,4.456333333
Jul-13,3.233,3.846129032,4.679677419,1.891935484,1.2,,,,2.506129032,3.592352941,2.37483871,4.071290323
Aug-13,3.586129032,3.95,4.944193548,2.118387097,1.596129032,,,,2.981290323,,2.671935484,3.954193548
Sep-13,3.281111111,4.896333333,4.262631579,1.990769231,2.321,,,,3.074333333,,1.700333333,3.959666667
Oct-13,3.128666667,5.930967742,2.849166667,1.835,4.104193548,,,,4.537741935,,4.584193548,4.087419355
Nov-13,,4.686666667,2.239090909,,2.886521739,,,,3.462,,3.719615385,4.188
Dec-13,,4.852758621,,,3.479354839,,,,3.909032258,,4.068709677,4.053333333
Jan-14,,5.085357143,,,3.478064516,,,,4.429677419,,4.380645161,4.003913043
Feb-14,,5.198148148,,,3.625357143,,,,4.426428571,,4.2675,4.084285714
Mar-14,2.47,5.094347826,,,3.290645161,,,,3.800967742,3.597727273,3.973225806,4.104193548
Apr-14,2.518421053,5.251666667,2.195,,3.451,,,,3.802,3.671,3.881333333,4.134
May-14,2.714814815,4.432903226,4.295185185,1.901764706,2.504516129,,,,3.300322581,3.704193548,3.419677419,4.19
Jun-14,3.428,6.322666667,4.555,2.653333333,4.423333333,,,,4.561,4.155333333,4.596666667,5.082333333
